    1001
      tau        trans        e3
 1.114741683e+00 3.280000091e-01 9.400992841e-02
 1.111697555e+00 3.289999962e-01 9.439303726e-02
 1.108662605e+00 3.300000131e-01 9.477668256e-02
 1.105636954e+00 3.310000002e-01 9.516080469e-02
 1.102620363e+00 3.319999874e-01 9.554544836e-02
 1.099612832e+00 3.330000043e-01 9.593065828e-02
 1.096614361e+00 3.339999914e-01 9.631634504e-02
 1.093624711e+00 3.350000083e-01 9.670257568e-02
 1.090644121e+00 3.359999955e-01 9.708932787e-02
 1.087672353e+00 3.370000124e-01 9.747658670e-02
 1.084709406e+00 3.379999995e-01 9.786439687e-02
 1.081755161e+00 3.389999866e-01 9.825270623e-02
 1.078809619e+00 3.400000036e-01 9.864153713e-02
 1.075872779e+00 3.409999907e-01 9.903088212e-02
 1.072944522e+00 3.420000076e-01 9.942077845e-02
 1.070024848e+00 3.429999948e-01 9.981116652e-02
 1.067113638e+00 3.440000117e-01 1.002020761e-01
 1.064210892e+00 3.449999988e-01 1.005935147e-01
 1.061316490e+00 3.459999859e-01 1.009854525e-01
 1.058430433e+00 3.470000029e-01 1.013779566e-01
 1.055552840e+00 3.479999900e-01 1.017709449e-01
 1.052683353e+00 3.490000069e-01 1.021644622e-01
 1.049822092e+00 3.499999940e-01 1.025585160e-01
 1.046969056e+00 3.510000110e-01 1.029530764e-01
 1.044124126e+00 3.519999981e-01 1.033481583e-01
 1.041287303e+00 3.529999852e-01 1.037437767e-01
 1.038458347e+00 3.540000021e-01 1.041399315e-01
 1.035637498e+00 3.549999893e-01 1.045365706e-01
 1.032824516e+00 3.560000062e-01 1.049337462e-01
 1.030019522e+00 3.569999933e-01 1.053314582e-01
 1.027222276e+00 3.580000103e-01 1.057296917e-01
 1.024432898e+00 3.589999974e-01 1.061284319e-01
 1.021651149e+00 3.600000143e-01 1.065277308e-01
 1.018877268e+00 3.610000014e-01 1.069274843e-01
 1.016111135e+00 3.619999886e-01 1.073277816e-01
 1.013352394e+00 3.630000055e-01 1.077286154e-01
 1.010601401e+00 3.639999926e-01 1.081299856e-01
 1.007857919e+00 3.650000095e-01 1.085318699e-01
 1.005121946e+00 3.659999967e-01 1.089342684e-01
 1.002393365e+00 3.670000136e-01 1.093372107e-01
 9.996723533e-01 3.680000007e-01 1.097406596e-01
 9.969586730e-01 3.689999878e-01 1.101446450e-01
 9.942522645e-01 3.700000048e-01 1.105491370e-01
 9.915532470e-01 3.709999919e-01 1.109541655e-01
 9.888613820e-01 3.720000088e-01 1.113597304e-01
 9.861768484e-01 3.729999959e-01 1.117657945e-01
 9.834994674e-01 3.740000129e-01 1.121723726e-01
 9.808292389e-01 3.750000000e-01 1.125795022e-01
 9.781661630e-01 3.759999871e-01 1.129871607e-01
 9.755100608e-01 3.770000041e-01 1.133953333e-01
 9.728611112e-01 3.779999912e-01 1.138040200e-01
 9.702190757e-01 3.790000081e-01 1.142132655e-01
 9.675840139e-01 3.799999952e-01 1.146230102e-01
 9.649558663e-01 3.810000122e-01 1.150332913e-01
 9.623346925e-01 3.819999993e-01 1.154440865e-01
 9.597203135e-01 3.829999864e-01 1.158554032e-01
 9.571127295e-01 3.840000033e-01 1.162672639e-01
 9.545119405e-01 3.849999905e-01 1.166796386e-01
 9.519178867e-01 3.860000074e-01 1.170925722e-01
 9.493306279e-01 3.869999945e-01 1.175059751e-01
 9.467499256e-01 3.880000114e-01 1.179199517e-01
 9.441759586e-01 3.889999986e-01 1.183344126e-01
 9.416085482e-01 3.899999857e-01 1.187494323e-01
 9.390476942e-01 3.910000026e-01 1.191650033e-01
 9.364934564e-01 3.919999897e-01 1.195810437e-01
 9.339456558e-01 3.930000067e-01 1.199976578e-01
 9.314044118e-01 3.939999938e-01 1.204147786e-01
 9.288694859e-01 3.950000107e-01 1.208324358e-01
 9.263410568e-01 3.959999979e-01 1.212506071e-01
 9.238189459e-01 3.970000148e-01 1.216693372e-01
 9.213032722e-01 3.980000019e-01 1.220885515e-01
 9.187939167e-01 3.989999890e-01 1.225083172e-01
 9.162907004e-01 4.000000060e-01 1.229286119e-01
 9.137938619e-01 4.009999931e-01 1.233494431e-01
 9.113031626e-01 4.020000100e-01 1.237707883e-01
 9.088187218e-01 4.029999971e-01 1.241926849e-01
 9.063403606e-01 4.040000141e-01 1.246151105e-01
 9.038681984e-01 4.050000012e-01 1.250380427e-01
 9.014021754e-01 4.059999883e-01 1.254615188e-01
 8.989420533e-01 4.070000052e-01 1.258855462e-01
 8.964881301e-01 4.079999924e-01 1.263100803e-01
 8.940401077e-01 4.090000093e-01 1.267351508e-01
 8.915981054e-01 4.099999964e-01 1.271607578e-01
 8.891620040e-01 4.110000134e-01 1.275869012e-01
 8.867319226e-01 4.120000005e-01 1.280135363e-01
 8.843077421e-01 4.129999876e-01 1.284407228e-01
 8.818892837e-01 4.140000045e-01 1.288684905e-01
 8.794767857e-01 4.149999917e-01 1.292967498e-01
 8.770700097e-01 4.160000086e-01 1.297255456e-01
 8.746690750e-01 4.169999957e-01 1.301548630e-01
 8.722738028e-01 4.180000126e-01 1.305847466e-01
 8.698843718e-01 4.189999998e-01 1.310151219e-01
 8.675006032e-01 4.199999869e-01 1.314460933e-01
 8.651224375e-01 4.210000038e-01 1.318775415e-01
 8.627499938e-01 4.219999909e-01 1.323095560e-01
 8.603830934e-01 4.230000079e-01 1.327420771e-01
 8.580218554e-01 4.239999950e-01 1.331751347e-01
 8.556661010e-01 4.250000119e-01 1.336087584e-01
 8.533159494e-01 4.259999990e-01 1.340429187e-01
 8.509712815e-01 4.269999862e-01 1.344775558e-01
 8.486320972e-01 4.280000031e-01 1.349127889e-01
 8.462983966e-01 4.289999902e-01 1.353485435e-01
 8.439700603e-01 4.300000072e-01 1.357848346e-01
 8.416472077e-01 4.309999943e-01 1.362216622e-01
 8.393296599e-01 4.320000112e-01 1.366590261e-01
 8.370175362e-01 4.329999983e-01 1.370969415e-01
 8.347107768e-01 4.339999855e-01 1.375353783e-01
 8.324092627e-01 4.350000024e-01 1.379743516e-01
 8.301130533e-01 4.359999895e-01 1.384138763e-01
 8.278220892e-01 4.370000064e-01 1.388539374e-01
 8.255363703e-01 4.379999936e-01 1.392945647e-01
 8.232558370e-01 4.390000105e-01 1.397356838e-01
 8.209805489e-01 4.399999976e-01 1.401773542e-01
 8.187103868e-01 4.410000145e-01 1.406195760e-01
 8.164454103e-01 4.420000017e-01 1.410623193e-01
 8.141855597e-01 4.429999888e-01 1.415056288e-01
 8.119307160e-01 4.440000057e-01 1.419494748e-01
 8.096809983e-01 4.449999928e-01 1.423938423e-01
 8.074362874e-01 4.460000098e-01 1.428387910e-01
 8.051967025e-01 4.469999969e-01 1.432842314e-01
 8.029620051e-01 4.480000138e-01 1.437302530e-01
 8.007323742e-01 4.490000010e-01 1.441767961e-01
 7.985077500e-01 4.499999881e-01 1.446239054e-01
 7.962879539e-01 4.510000050e-01 1.450715363e-01
 7.940731049e-01 4.519999921e-01 1.455197185e-01
 7.918631434e-01 4.530000091e-01 1.459684521e-01
 7.896580696e-01 4.539999962e-01 1.464177072e-01
 7.874578238e-01 4.550000131e-01 1.468675733e-01
 7.852624655e-01 4.560000002e-01 1.473178864e-01
 7.830719352e-01 4.569999874e-01 1.477688253e-01
 7.808861136e-01 4.580000043e-01 1.482202709e-01
 7.787050605e-01 4.589999914e-01 1.486722678e-01
 7.765287757e-01 4.600000083e-01 1.491248310e-01
 7.743572593e-01 4.609999955e-01 1.495779157e-01
 7.721903324e-01 4.620000124e-01 1.500315964e-01
 7.700282335e-01 4.629999995e-01 1.504857689e-01
 7.678707838e-01 4.639999866e-01 1.509405077e-01
 7.657178640e-01 4.650000036e-01 1.513957977e-01
 7.635696530e-01 4.659999907e-01 1.518516392e-01
 7.614260316e-01 4.670000076e-01 1.523080170e-01
 7.592869997e-01 4.679999948e-01 1.527649760e-01
 7.571524978e-01 4.690000117e-01 1.532224715e-01
 7.550225854e-01 4.699999988e-01 1.536805034e-01
 7.528972030e-01 4.709999859e-01 1.541390717e-01
 7.507762909e-01 4.720000029e-01 1.545982361e-01
 7.486599088e-01 4.729999900e-01 1.550579369e-01
 7.465479374e-01 4.740000069e-01 1.555182040e-01
 7.444404960e-01 4.749999940e-01 1.559789777e-01
 7.423374057e-01 4.760000110e-01 1.564403474e-01
 7.402387857e-01 4.769999981e-01 1.569022685e-01
 7.381445765e-01 4.779999852e-01 1.573647261e-01
 7.360546589e-01 4.790000021e-01 1.578277349e-01
 7.339692116e-01 4.799999893e-01 1.582913101e-01
 7.318879962e-01 4.810000062e-01 1.587554514e-01
