Calculated tabulations of H2O line broadening by H2O, N2, O2, and CO2 
at high temperature. Delaye, C., Hartmann, J-M., & Taine, J. Applied 
Optics, 28, 5080-5087, 1989.

Lorentz width is tabulated at 300 K and 1 atmosphere.
Based on calculations at 300, 750, & 2000 K for Q branch lines.
Lorentz width at temperature T is given by the expression:

      al(T) = al(300K)*(300/T)**N

Both al(300K) and N are tabulated below.

Line   Lower Level  H2O - CO2    H2O - H2O    H2O - N2     H2O - O2

J  Ka Kc   E(cm-1)  al(300) N    al(300) N    al(300) N    al(300) N    

 9  9  1  2225.47    62.8 0.75   126.0 0.38    20.8 0.17   18.3 0.26
 9  1  8  1079.08    56.4 0.31   287.3 0.51    46.9 0.31   24.3 0.25
 9  3  6  1282.92   101.2 0.36   409.3 0.79    94.4 0.73   56.8 0.63
 9  5  4  1477.30    65.8 0.30   317.3 0.63    66.4 0.55   36.3 0.46
 9  7  2  1810.59    64.9 0.54   204.9 0.48    34.1 0.23   28.1 0.37
 9  9  0  2225.47    62.8 0.75   126.0 0.38    20.8 0.17   18.3 0.26
 9  0  9   920.17    55.8 0.41   254.6 0.46    39.6 0.20   19.8 0.15
 9  2  7  1201.92    83.0 0.33   371.2 0.68    78.2 0.61   46.1 0.55
 9  4  5  1360.24    93.4 0.35   381.9 0.76    92.0 0.73   52.8 0.61
 9  6  3  1631.38    66.1 0.44   268.8 0.58    45.6 0.35   30.6 0.39
 9  8  1  2009.80    60.3 0.60   174.8 0.46    26.1 0.14   24.0 0.32
10  0 10  1114.53    49.8 0.43   226.9 0.41    30.7 0.09   15.8 0.06
10  2  8  1437.97    65.4 0.28   338.8 0.63    62.7 0.49   34.1 0.42
10  4  6  1616.45    92.8 0.34   395.3 0.78    93.0 0.74   53.1 0.61
10  6  4  1875.46    54.3 0.30   279.1 0.59    46.6 0.36   27.2 0.32
10  8  2  2254.28    56.7 0.52   192.5 0.48    26.2 0.12   23.6 0.30
10 10  0  2701.89    56.2 0.74   113.4 0.38    16.8 0.10   14.7 0.17
10  1  9  1293.02    47.5 0.31   255.7 0.47    34.4 0.15   18.0 0.12
10  3  7  1538.15    92.4 0.34   408.0 0.78    87.4 0.69   52.8 0.61
10  5  5  1724.71    58.4 0.19   335.4 0.67    71.4 0.59   37.1 0.47
10  7  3  2054.37    58.0 0.44   225.2 0.51    34.4 0.23   25.5 0.31
10  9  1  2471.25    52.7 0.59   154.2 0.44    20.2 0.04   20.0 0.24
10  1 10  1114.55    50.0 0.43   226.9 0.41    30.7 0.09   15.9 0.07
10  3  8  1446.13    49.1 0.21   309.9 0.58    48.3 0.35   24.3 0.26
10  5  6  1718.72    56.5 0.28   318.9 0.63    55.0 0.43   29.9 0.36
10  7  4  2054.35    57.5 0.43   225.1 0.51    34.1 0.22   25.4 0.31
10  9  2  2471.25    52.7 0.59   154.2 0.44    20.2 0.04   20.0 0.24
10  2  9  1293.63    57.5 0.46   251.4 0.47    33.9 0.15   21.0 0.22
10  4  7  1581.34    47.7 0.15   330.2 0.62    56.5 0.43   28.7 0.34
10  6  5  1874.97    54.3 0.32   268.2 0.57    43.9 0.33   26.5 0.31
10  8  3  2254.28    56.7 0.52   192.5 0.48    26.1 0.12   23.6 0.30
10 10  1  2701.89    56.2 0.74   113.4 0.38    16.8 0.10   14.7 0.17
11  2 10  1525.14    48.5 0.45   219.4 0.41    25.5 0.02   16.2 0.11
11  4  8  1843.03    38.3 0.06   303.9 0.58    47.9 0.35   23.3 0.24
11  6  6  2142.60    44.7 0.20   276.5 0.58    42.9 0.31   24.0 0.27
11  8  4  2522.26    49.1 0.40   213.2 0.53    26.4 0.12   21.4 0.24
11  1 11  1327.12    44.7 0.46   218.6 0.42    23.9 -.02   13.1 -.01
11  3  9  1695.07    44.6 0.22   266.7 0.51    38.6 0.24   19.2 0.17
11  5  7  1985.19    49.1 0.21   303.6 0.59    50.7 0.39   26.1 0.32
11  7  5  2321.81    44.9 0.27   227.2 0.50    33.7 0.21   22.1 0.24
11  9  3  2740.42    47.5 0.48   167.8 0.46    20.2 0.02   19.6 0.22
11  1 10  1524.85    40.5 0.32   222.6 0.42    25.3 0.02   13.9 0.01
11  3  8  1813.22    80.0 0.30   370.8 0.71    78.3 0.63   45.1 0.55
11  5  6  1999.00    64.3 0.22   380.6 0.75    77.2 0.64   40.1 0.50
11  7  4  2321.91    45.4 0.27   229.9 0.51    34.3 0.22   22.3 0.24
11  9  2  2740.42    47.5 0.48   167.8 0.46    20.2 0.02   19.6 0.22
11  0 11  1327.11    44.6 0.45   218.4 0.42    23.9 -.02   13.1 -.01
11  2  9  1690.67    53.2 0.26   268.9 0.50    46.4 0.33   23.8 0.27
11  4  7  1899.01    84.5 0.29   419.1 0.82    90.8 0.72   51.6 0.60
11  6  5  2144.05    39.4 0.09   293.1 0.61    47.8 0.37   24.8 0.28
11  8  3  2522.27    49.2 0.40   213.1 0.53    26.5 0.12   21.4 0.24
12  0 12  1557.84    40.1 0.47   193.9 0.38    18.6 -.12   11.1 -.07
12  2 10  1960.21    44.7 0.27   225.4 0.41    33.0 0.17   17.6 0.14
12  4  8  2205.65    78.1 0.27   423.7 0.82    84.3 0.67   48.2 0.58
12  6  6  2437.50    33.7 -.02   294.6 0.60    50.1 0.39   23.8 0.26
12  8  4  2813.53    36.7 0.21   216.8 0.52    26.3 0.11   18.6 0.17
12  1 11  1774.62    34.7 0.32   196.3 0.38    18.9 -.11   11.3 -.07
12  3  9  2105.88    65.9 0.26   333.0 0.64    65.3 0.53   35.5 0.45
12  5  7  2300.69    70.2 0.24   390.8 0.76    81.7 0.67   43.0 0.54
12  7  5  2613.10    30.2 0.02   245.0 0.54    33.4 0.20   19.3 0.17
12  1 12  1557.85    40.1 0.47   193.9 0.38    18.6 -.12   11.1 -.07
12  3 10  1962.51    43.6 0.29   217.9 0.40    29.8 0.12   15.8 0.09
12  5  8  2275.37    42.9 0.16   294.8 0.59    44.6 0.31   22.9 0.25
12  7  6  2612.80    30.6 0.04   238.7 0.53    32.3 0.18   19.1 0.17
12  2 11  1774.75    39.1 0.40   196.2 0.38    19.0 -.10   12.1 -.03
12  4  9  2124.95    30.1 -.02   269.8 0.52    39.7 0.25   18.6 0.14
12  6  7  2433.80    42.1 0.19   264.9 0.55    40.9 0.28   22.7 0.25
12  8  5  2813.51    36.6 0.21   216.1 0.52    26.2 0.11   18.6 0.17
13  2 12  2042.37    31.9 0.37   167.4 0.31    14.4 -.22    9.7 -.12
13  4 10  2426.20    25.1 -.09   237.3 0.47    32.3 0.16   15.0 0.05
13  6  8  2748.11    42.2 0.22   254.0 0.52    37.7 0.24   21.3 0.23
13  1 13  1806.67    36.2 0.50   172.4 0.35    14.6 -.21    9.6 -.12
13  3 11  2248.07    43.9 0.39   215.6 0.43    22.6 0.00   14.0 0.06
13  5  9  2586.53    36.3 0.10   255.5 0.50    38.1 0.23   18.9 0.16
13  1 12  2042.31    30.1 0.33   167.2 0.31    14.4 -.22    9.4 -.14
13  3 10  2414.73    54.7 0.24   262.9 0.51    24.9 -.06   25.5 0.31
13  5  8  2629.34    70.4 0.23   393.0 0.76    82.8 0.67   43.1 0.54
13  0 13  1806.67    36.2 0.50   172.4 0.35    14.6 -.21    9.6 -.12
13  2 11  2246.89    38.4 0.28   215.7 0.42    23.2 -.04   13.7 0.04
13  4  9  2533.79    76.5 0.29   363.5 0.71    76.4 0.62   44.1 0.54
13  6  7  2756.42    38.1 0.02   305.1 0.62    55.4 0.45   25.0 0.28
14  0 14  2073.52    32.8 0.52   145.1 0.27    11.7 -.29    8.4 -.16
14  2 12  2550.88    32.8 0.29   180.4 0.35    17.1 -.12   11.1 -.04
14  4 10  2880.83    70.5 0.29   335.0 0.66    66.9 0.55   37.3 0.47
14  1 13  2327.89    26.5 0.35   157.8 0.31    11.1 -.32    8.1 -.18
14  3 11  2739.45    45.9 0.25   219.1 0.42    35.6 0.22   19.1 0.20
14  1 14  2073.52    32.8 0.52   145.1 0.27    11.7 -.29    8.4 -.16
14  3 12  2551.49    43.5 0.49   182.8 0.36    17.5 -.10   13.4 0.08
14  2 13  2327.91    27.0 0.36   158.1 0.31    11.1 -.32    8.1 -.18
14  4 11  2746.02    21.7 -.11   213.4 0.43    26.0 0.06   12.4 -.02
15  2 14  2631.28    24.0 0.38   137.8 0.27     8.1 -.40    6.9 -.24
15  1 15  2358.30    29.8 0.53   140.4 0.27     9.4 -.37    7.3 -.21
15  3 13  2872.57    37.4 0.49   161.1 0.32    13.4 -.21   11.6 0.03
15  1 14  2631.27    23.8 0.37   137.4 0.26     8.7 -.40    6.9 -.24
15  0 15  2358.30    29.8 0.53   140.4 0.27     9.4 -.37    7.3 -.21
15  2 13  2872.28    27.6 0.28   164.7 0.33    12.8 -.24    9.1 -.11
16  0 16  2660.95    27.1 0.55   127.4 0.26     7.6 -.44    6.4 -.25
16  1 16  2660.95    27.1 0.55   127.4 0.26     7.6 -.44    6.4 -.25
