################ NH3 FUV Absorption Cross Section  ####################
Source Liang et al. (2007), interpolated to 0.01 nm
 
 COLUMN 1:      vacuum wavelength (nm) 
 COLUMN 2:      cross section (cm^2/molecule)   @300
 
DATE OF FILE CREATION: 11.09.2018 - Henrik Melin
 
NUMBER OF LINES: 8601
      143.280  2.12310e-18
      143.290  2.47602e-18
      143.300  2.82947e-18
      143.310  3.14635e-18
      143.320  3.46372e-18
      143.330  3.81461e-18
      143.340  4.16551e-18
      143.350  4.76564e-18
      143.360  5.36486e-18
      143.370  5.37483e-18
      143.380  5.38481e-18
      143.390  5.36124e-18
      143.400  5.33767e-18
      143.410  4.71417e-18
      143.420  4.09162e-18
      143.430  4.22238e-18
      143.440  4.35333e-18
      143.450  3.80520e-18
      143.460  3.25624e-18
      143.470  3.10573e-18
      143.480  2.95522e-18
      143.490  3.03205e-18
      143.500  3.10876e-18
      143.510  2.93120e-18
      143.520  2.75336e-18
      143.530  2.64187e-18
      143.540  2.53037e-18
      143.550  2.44851e-18
      143.560  2.36678e-18
      143.570  2.36360e-18
      143.580  2.36043e-18
      143.590  2.07123e-18
      143.600  1.78159e-18
      143.610  1.72662e-18
      143.620  1.67164e-18
      143.630  1.53507e-18
      143.640  1.39870e-18
      143.650  1.37788e-18
      143.660  1.35703e-18
      143.670  1.20866e-18
      143.680  1.06029e-18
      143.690  1.09468e-18
      143.700  1.12901e-18
      143.710  1.11355e-18
      143.720  1.09812e-18
      143.730  1.19735e-18
      143.740  1.29673e-18
      143.750  1.42197e-18
      143.760  1.54721e-18
      143.770  1.47452e-18
      143.780  1.40195e-18
      143.790  1.36481e-18
      143.800  1.32762e-18
      143.810  1.41799e-18
      143.820  1.50850e-18
      143.830  1.55970e-18
      143.840  1.61091e-18
      143.850  1.59908e-18
      143.860  1.58726e-18
      143.870  1.74999e-18
      143.880  1.91296e-18
      143.890  2.01057e-18
      143.900  2.10817e-18
      143.910  2.16385e-18
      143.920  2.21945e-18
      143.930  2.23798e-18
      143.940  2.25654e-18
      143.950  2.25868e-18
