# Data taken from Menang et al. (2013), which has been normalised to Thuillier. Smoothed to 0.0003 microns. Triangular.
# Wavelength (microns)    Spectral Luminosity (W micron-1)
1
6.955e5
       1.4511068   9.3582380e+25
       1.4511099   9.3561360e+25
       1.4511131   9.3540691e+25
       1.4511163   9.3520381e+25
       1.4511195   9.3500800e+25
       1.4511226   9.3481403e+25
       1.4511258   9.3463565e+25
       1.4511290   9.3446843e+25
       1.4511322   9.3430693e+25
       1.4511353   9.3416212e+25
       1.4511385   9.3402820e+25
       1.4511417   9.3390534e+25
       1.4511448   9.3378525e+25
       1.4511480   9.3367909e+25
       1.4511512   9.3357920e+25
       1.4511544   9.3347756e+25
       1.4511575   9.3338524e+25
       1.4511607   9.3329309e+25
       1.4511639   9.3319782e+25
       1.4511671   9.3310577e+25
       1.4511702   9.3300708e+25
       1.4511734   9.3291162e+25
       1.4511766   9.3281477e+25
       1.4511797   9.3270953e+25
       1.4511829   9.3260835e+25
       1.4511861   9.3250071e+25
       1.4511893   9.3239824e+25
       1.4511924   9.3229374e+25
       1.4511956   9.3218509e+25
       1.4511988   9.3208031e+25
       1.4512020   9.3197000e+25
       1.4512051   9.3186541e+25
       1.4512083   9.3175381e+25
       1.4512115   9.3164626e+25
       1.4512146   9.3153244e+25
       1.4512178   9.3142149e+25
       1.4512210   9.3130204e+25
       1.4512242   9.3118537e+25
       1.4512273   9.3105919e+25
       1.4512305   9.3093440e+25
       1.4512337   9.3080002e+25
       1.4512369   9.3066674e+25
       1.4512400   9.3052332e+25
       1.4512432   9.3038017e+25
       1.4512464   9.3022761e+25
       1.4512496   9.3007672e+25
       1.4512527   9.2991669e+25
       1.4512559   9.2975316e+25
       1.4512591   9.2959489e+25
       1.4512622   9.2943099e+25
       1.4512654   9.2927456e+25
       1.4512686   9.2911509e+25
       1.4512718   9.2895912e+25
       1.4512749   9.2881256e+25
       1.4512781   9.2866370e+25
       1.4512813   9.2852313e+25
       1.4512845   9.2837741e+25
       1.4512876   9.2822845e+25
       1.4512908   9.2807875e+25
       1.4512940   9.2791153e+25
       1.4512972   9.2772762e+25
       1.4513003   9.2752572e+25
       1.4513035   9.2728886e+25
       1.4513067   9.2701659e+25
       1.4513098   9.2670761e+25
       1.4513130   9.2634845e+25
